,compound,neg,neu,pos,tweet_text
15,0.0,0.0,1.0,0.0,"RT @clcv: We're one hour in the #DemDebate, and #ClimateChange has not been discussed nearly enough.

We need a #ClimateDebate now: https:/…"
16,0.0,0.0,1.0,0.0,"RT @FriendsOScience: @RealSaavedra That's really big. Does he know the 'universe' drives #climatechange ?   Dr. Nir Shaviv, Chair and Prof…"
17,0.3612,0.0,0.848,0.152,"RT @stonecold2050: Voting for a Republican is like lightning a match to Earth 

#VoteBlue2020 

#ClimateEmergency 

#ClimateCrisis https://…"
18,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
19,-0.5719,0.198,0.802,0.0,"RT @Jamesdonovan45: Four terrifying climate change stories happening in the arctic right now.
#ClimateChange #GlobalWarming #ClimateEmergen…"
20,0.3182,0.0,0.897,0.103,"RT @PaulEDawson: A mere 100 companies are responsible for 71 percent of global climate emissions.

These people are locking you and everyth…"
21,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
22,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
23,0.0,0.0,1.0,0.0,"RT @Nahanni_: @MelanieBergma18 @ForgeRat @xr_cambridge @ClimateHuman "". In the case of particularly climate-damaging methane, agriculture i…"
24,0.4019,0.0,0.828,0.172,Climate change: UK's 10 warmest years all occurred since 2002 #ClimateEmergency #ClimateCrisis #PlasticFreeJuly… https://t.co/AXE3KLkhuQ
25,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
26,0.2732,0.0,0.913,0.087,"RT @transcendentfr2: 2 and a half years of emission data, tell me again which energy sources are actually doing the job?

let me spoil that…"
27,0.3612,0.0,0.848,0.152,"RT @Jamesdonovan45: Humans don't deserve earth🌍
Do you agree ?
#climatechange #deforestation #ClimateCrisis #Tiredearth  #humanity #disaste…"
28,-0.2263,0.087,0.913,0.0,RT @iammatthunter: #ExtinctionRebellion protesters at Bay &amp; King this evening. I'm seeing more of this sort of thing lately. Not surprising…
29,0.5093,0.0,0.829,0.171,For all our sakes..... will every leader for goodness sake listen to this man! @PaulEDawson #ClimateEmergency… https://t.co/rwTTDNHHEJ
30,0.3612,0.0,0.839,0.161,"RT @Strke4Democracy: @AlexandriaV2005 @GretaThunberg @f4f_nyc @zerohournyc @sunrisemvmtnyc @XR_NYC Gotcha, thank you for the clarification…"
31,0.743,0.0,0.769,0.231,"RT @BillionthMonkey: My friend Angela out canvassing the streets of Ottawa Centre with Green friends - day in, day out for weeks now, remar…"
32,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
33,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
34,-0.3818,0.106,0.894,0.0,RT @AJEnglish: Ethiopians plant more than 350 million 🌳 in a single day as part of a #GreenLegacy campaign to fight deforestation and #Clim…
35,0.2481,0.097,0.726,0.177,"RT @BernieOrVest: I agree! Bernie is understandably emotional, as many of us are, that humanity is hurtling into both #ClimateCrisis and fa…"
36,0.0,0.0,1.0,0.0,RT @DrAmelieMeyer: New study @SciReports shows how winter storms in #Arctic trigger ice drift and upper ocean mixing resulting in increased…
37,0.0,0.0,1.0,0.0,"RT @PaulEDawson: Time to walk the walk not just talk the talk!

The UK, France, Canada and Ireland have all formally recognised a climate c…"
38,0.0,0.0,1.0,0.0,RT @NikolovScience: @Mary22244408 @rebelsrallying @GretaThunberg I've been researching climate for years. I know all data sets and trends.…
39,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
40,0.7351,0.0,0.714,0.286,"RT @PaulEDawson: “This is urgent, and to think we have time is such a privileged and removed-from-reality attitude,”

I agree with AOC, it'…"
41,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
42,-0.3818,0.106,0.894,0.0,RT @AJEnglish: Ethiopians plant more than 350 million 🌳 in a single day as part of a #GreenLegacy campaign to fight deforestation and #Clim…
43,0.0,0.0,1.0,0.0,"Wildlife photographer &amp; filmmaker of the documentary Wild Karnataka, Amoghavarsha JS, will be at #IIHSin tomorrow t… https://t.co/r0GgZpI4el"
44,-0.128,0.111,0.804,0.085,"Glacier national park had to remove their ""no more glaciers by 2020"" sign. Glaciers are growing 😂😂😂😂… https://t.co/yFa1qsnrqY"
45,0.0,0.0,1.0,0.0,RT @IPCC_CH: Estimates of the global emissions outcome of current nationally stated mitigation ambitions as submitted under the Paris Agree…
46,-0.296,0.087,0.913,0.0,"RT @MikeDski: It would take roughly 200,000 pro skiers to match the annual carbon footprint of 1 coal-fired power plant. Time to stop the c…"
47,-0.7579,0.342,0.591,0.068,"I'll risk everything to warn you that global warming is caused by the expansion of Hell.
https://t.co/g241ouruM5… https://t.co/8FGrGgmdjb"
48,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
49,-0.9001,0.478,0.522,0.0,@TayePolitics @PeteButtigieg Terrifying. I lived through a few catastrophic floods in Houston. The worst was Tropic… https://t.co/r1jm0KR3NJ
50,-0.1027,0.131,0.758,0.111,RT @GCAdaptation: Why parks are key to helping cities fight back against climate change https://t.co/GILq959KuL #climatechange #greenspaces…
51,0.0772,0.0,0.929,0.071,"A new book lays out a number of ways to get conversations on #ClimateChange flowing productively: 

'Context is cri… https://t.co/m0sYzIRnse"
52,0.7506,0.0,0.72,0.28,"RT @KennyMeganck: 1⃣2⃣3⃣
That is the number of years ago Nobel winner Arrhenius, in 1896, calculated that the increase in atmospheric carbo…"
53,-0.202,0.132,0.773,0.095,"It's more important than ever for us to fight the consequences of climate change, especially in Southeast Asia!… https://t.co/j0UhDbJCI0"
54,0.0,0.0,1.0,0.0,Met Office: #UK's 10 hottest years on record occurred since 2002 https://t.co/4EZ59iinMS #GlobalWarming
55,-0.6249,0.163,0.837,0.0,"So @BBCBreakfast is saying because of #climatechange we will never have winters as cold as the worst in the past, b… https://t.co/89HFtPFCt1"
56,-0.296,0.084,0.916,0.0,"RT @GreenpeaceEU: BREAKING: The @EIB wants to stop new funding of all fossil fuels in 2020.

The bank’s board must now approve the plan wit…"
57,-0.6908,0.263,0.737,0.0,Efforts being wasted on fighting in court against something designed to mitigate #climatechange.  It's akin to taki… https://t.co/Tav621txGN
58,0.2263,0.0,0.913,0.087,"RT @Greenpeace: As Earth continues to warm, disease-carrying mosquitoes could migrate to new regions around the world. They will become ano…"
59,0.0,0.0,1.0,0.0,"RT @action_gx: A CALL FOR VOLUNTEERS.

We Need You.... Our Environment Needs Us. 
 Register @ https://t.co/jwwNQOXv8x

#actiongx #environme…"
60,-0.1779,0.127,0.78,0.093,"RT @RgnLewvanGreens: Different priorities emerging for Canada.  The @CanadianGreens
are prepared for this with a plan to fight #climatechan…"
61,-0.2263,0.095,0.905,0.0,"RT @emilyhholden: Ahead of Tuesday's Democratic presidential debate, roughly 2,000 marched in downtown Detroit demanding a Green New Deal f…"
62,-0.296,0.128,0.872,0.0,RT @stevewardpoli: #Greens are often accused of being conservatives. Some key #Green policies: #Pharmacare #BasicIncomeGuarantee #Reconcili…
63,-0.6249,0.337,0.663,0.0,"And still the usual suspects pretend to believe #ClimateChange is happening 😕
#ClimateEmergency
https://t.co/sdmKLvMS0y"
64,0.636,0.0,0.743,0.257,"RT @sciencemarchnyc: Tonight's the night! Join us for a #DNCDebate watch party @JalopyBrooklyn with @350action, @sunrisemvmtnyc and @earth_…"
65,-0.3818,0.106,0.894,0.0,RT @AJEnglish: Ethiopians plant more than 350 million 🌳 in a single day as part of a #GreenLegacy campaign to fight deforestation and #Clim…
66,0.5267,0.0,0.805,0.195,"Why does climate change require brave change leadership, and leaders who take action? https://t.co/xmoWjxiA6F… https://t.co/ea8lq1mNwi"
67,0.3491,0.0,0.868,0.132,"#Weather #Drought #ClimateChange The season is dry, but all is not lost in #Marathwada villages | reports… https://t.co/uKn6XjAvky"
68,0.6369,0.0,0.729,0.271,"RT @DrDooleyMD: Our taxes should be used to help people.   

Like:

#MedicareForAll 
#ClimateChange
#GreenNewDeal 
#CancelStudentDebt 
#Col…"
69,-0.2732,0.184,0.712,0.105,"RT @GeraldKutney: Prince Charles: ""All of a sudden, and with a barrage of sheer intimidation, we are told by powerful groups of deniers tha…"
70,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
71,0.0,0.0,1.0,0.0,"RT @fortuna_blue: Das Interview beschreibt, was mir auch befreundete Forstwirtinnen mit Sorgenfalten auf der Stirn aus sächsischen Wäldern…"
72,0.5994,0.0,0.786,0.214,RT @UKGBC: Responding to the #ClimateCrisis requires leaders that can drive #innovation and create a culture of opportunity in their organi…
73,0.4939,0.0,0.814,0.186,"RT @AnikaMolesworth: I am confident we can address #ClimateChange

Here are 5 reasons why.

@farmingforever @ClimateWiseAg @YouthVoicesYFC…"
74,0.0,0.0,1.0,0.0,"If we don't think of ""big asphalt"" as part of the industrial complex guaranteeing the continued #ClimateCrisis alon… https://t.co/ML0Mm609rc"
75,0.0,0.0,1.0,0.0,RT @NikolovScience: @Mary22244408 @rebelsrallying @GretaThunberg I've been researching climate for years. I know all data sets and trends.…
76,-0.4215,0.123,0.877,0.0,RT @northbird_ellen: Reindeers are sensitive to climate and are starving due to #climatechange. The reindeer are a crucial part of the arti…
77,-0.2732,0.184,0.712,0.105,"RT @GeraldKutney: Prince Charles: ""All of a sudden, and with a barrage of sheer intimidation, we are told by powerful groups of deniers tha…"
78,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
79,0.0,0.0,1.0,0.0,"RT @PaulEDawson: Time to walk the walk not just talk the talk!

The UK, France, Canada and Ireland have all formally recognised a climate c…"
80,0.0,0.0,1.0,0.0,"RT @Wits_News: 66 years of tracking SA's #sardinerun - 👇🏿this is what we found. #OpEd by @JenFitchett and Stefan Grab.
https://t.co/dtCveAd…"
81,0.7351,0.0,0.714,0.286,"RT @PaulEDawson: “This is urgent, and to think we have time is such a privileged and removed-from-reality attitude,”

I agree with AOC, it'…"
82,0.6662,0.0,0.767,0.233,What if MAINSTREAM MEDIA Discussed #ClimateChange at least once a day? Would the public do better at helping it? I… https://t.co/sSlUbfwJQO
83,-0.5267,0.195,0.805,0.0,RT @yenravc: Is #AI the next big #ClimateChange threat? We haven’t a clue - via @techreview https://t.co/cdu6p8LfDD
84,0.0,0.0,1.0,0.0,"RT @GreenDallas: In November, Dallas residents can get a #FreeTree for their yard. #BranchOut Dallas is back! Watch for the registration li…"
85,0.0,0.0,1.0,0.0,66 years of tracking SA's #sardinerun - 👇🏿this is what we found. #OpEd by @JenFitchett and Stefan Grab.… https://t.co/v1UhddWpKq
86,-0.6249,0.227,0.773,0.0,"#ClimateCrisis Starvation deaths of 200 reindeer in Arctic caused by climate crisis, say researchers https://t.co/WRAUnFnZUA"
87,0.2263,0.0,0.913,0.087,"RT @Greenpeace: As Earth continues to warm, disease-carrying mosquitoes could migrate to new regions around the world. They will become ano…"
88,0.7269,0.0,0.775,0.225,"England region plans world-first for climate change teaching?

👉 Come on, 🇩🇪, take better care of your children. Dr… https://t.co/Fs9ZAnEmG2"
89,-0.6486,0.193,0.807,0.0,"RT @ShiCooks: More than 200 reindeer found dead of starvation in the Arctic, scientists say https://t.co/VjJw9xNrMr #ClimateChange RT @Barr…"
90,0.2481,0.097,0.726,0.177,"RT @BernieOrVest: I agree! Bernie is understandably emotional, as many of us are, that humanity is hurtling into both #ClimateCrisis and fa…"
91,0.0,0.0,1.0,0.0,RT @IPCC_CH: Estimates of the global emissions outcome of current nationally stated mitigation ambitions as submitted under the Paris Agree…
92,0.4939,0.0,0.862,0.138,"RT @NopiaRide: We care about the environment. Therefore, all our Nopia vehicles are non-polluting electric cars. Nopia is an affordable way…"
93,0.0,0.0,1.0,0.0,"RT @PaulEDawson: Time to walk the walk not just talk the talk!

The UK, France, Canada and Ireland have all formally recognised a climate c…"
94,0.0,0.0,1.0,0.0,#gretathunberg #thunberg #climatechange #ClimateEmergency #ClimateChangeIsReal #ClimateDebate #ClimateAction… https://t.co/UyNrTNJgCS
95,-0.4215,0.113,0.887,0.0,"RT @IPBES: 🌳#Ethiopia 🇪🇹 just broke an unbe-leaf-able record.🌳

In 12 hours, the country planted 350 million trees to counter the effects o…"
96,0.0,0.0,1.0,0.0,RT @arikring: @Jackthelad1947 @NeurozoInnovat1 @ristori20 @kashthefuturist @AdamRogers2030 @ReclaimAnglesea @debraruh @HansLak @SusanHeaney…
97,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
98,0.4497,0.0,0.866,0.134,"RT @Bruegel_org: #EU #greenhousegas emissions have decreased in all sectors but transport, which has had a 20% increase. Transport is a key…"
99,0.0,0.0,1.0,0.0,”Om man funderar på att besöka det förrädiskt glimmrande shoppingparadiset bör man ta ställning till om man därigen… https://t.co/T7EMlnbsdZ
100,-0.34,0.103,0.897,0.0,RT @ishat_reza: Incredible there are still people who deny the connection between human activity &amp; the #ClimateCrisis we are living with. T…
101,0.0,0.0,1.0,0.0,#GlobalWarming @GretaThunberg @SkyTG24 @MediasetTgcom24 @TgLa7 @Agenzia_Ansa @RaiTre @Corriere @fattoquotidiano… https://t.co/65fWNoTzqr
102,0.0,0.0,1.0,0.0,"@Risingphoenixn2 @GeochemOz @sarahsalviander You should read this. It is about #climatechange denial, but creationi… https://t.co/D4Q4Qy1i2K"
103,-0.34,0.156,0.844,0.0,"Its 1 am and its 80°F, I would say Wtf, but I am not a #climatechange denier... https://t.co/6maLTuNbAx"
104,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
105,0.7351,0.0,0.714,0.286,"RT @PaulEDawson: “This is urgent, and to think we have time is such a privileged and removed-from-reality attitude,”

I agree with AOC, it'…"
106,0.0,0.0,1.0,0.0,"RT @n0v0id: 300km/h travel speed, yearly delays measured in seconds, multiple connections to main destinations each hour: with a #Shinkanse…"
107,0.0,0.0,1.0,0.0,"RT @EstherdeWeger: #ClimateCrisis already causing deaths and childhood stunting, report reveals https://t.co/1WtScVNPig"
108,-0.1779,0.082,0.918,0.0,#Climatechange There are a lot of people worrying about climate change here on Twitter but over 20 million people c… https://t.co/CgP1QPBQSa
109,-0.2263,0.087,0.913,0.0,RT @iammatthunter: #ExtinctionRebellion protesters at Bay &amp; King this evening. I'm seeing more of this sort of thing lately. Not surprising…
110,0.2481,0.097,0.726,0.177,"RT @BernieOrVest: I agree! Bernie is understandably emotional, as many of us are, that humanity is hurtling into both #ClimateCrisis and fa…"
111,0.0,0.0,1.0,0.0,RT @RSPBNews: .@BorisJohnson you talked of #climatechange in your campaign #thetimeisnow to walk the walk – how will you tackle the nature…
112,0.0,0.0,1.0,0.0,"RT @PilarConesa: Crece la deuda ecológica. Es urgente actuar!!!!
Al ritmo actual de consumo, necesitaríamos 1, 75 Tierras.

@acerrillo3@LaV…"
113,-0.2732,0.184,0.712,0.105,"RT @GeraldKutney: Prince Charles: ""All of a sudden, and with a barrage of sheer intimidation, we are told by powerful groups of deniers tha…"
114,-0.4215,0.113,0.887,0.0,"RT @IPBES: 🌳#Ethiopia 🇪🇹 just broke an unbe-leaf-able record.🌳

In 12 hours, the country planted 350 million trees to counter the effects o…"
115,0.0,0.0,1.0,0.0,RT @NikolovScience: @Mary22244408 @rebelsrallying @GretaThunberg I've been researching climate for years. I know all data sets and trends.…
116,0.216,0.0,0.915,0.085,"RT @lifelearner47: Extreme events still going on. 
Remember what the scientists said: more likely, more often, more intense.
They were righ…"
117,0.0,0.0,1.0,0.0,@Mary22244408 @rebelsrallying @GretaThunberg I've been researching climate for years. I know all data sets and tren… https://t.co/YoEiIZ5HW0
118,-0.6808,0.312,0.56,0.128,"RT @secularcitizen2: @elliotcwilliams @PattyCross2160 Corporate predation, #ClimateChange, and health care should scare the hell out of him."
119,0.7351,0.0,0.714,0.286,"RT @PaulEDawson: “This is urgent, and to think we have time is such a privileged and removed-from-reality attitude,”

I agree with AOC, it'…"
120,0.3612,0.0,0.878,0.122,Senators running for Pres in 2020: Looks like your mental models are too narrow my dudes @gillibrand @corybooker… https://t.co/3RuJdeupU6
121,-0.296,0.136,0.864,0.0,#ClimateEmergency #climatestrike #ClimateCrisis @CNN @MSNBC COVER @JayInslee ... Stop setting up discussions to onl… https://t.co/ReWoCTxb2z
122,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
123,0.0,0.0,1.0,0.0,RT @IPCC_CH: Estimates of the global emissions outcome of current nationally stated mitigation ambitions as submitted under the Paris Agree…
124,-0.2263,0.087,0.913,0.0,"RT @oxfamnz: #Pacific leaders from several island nations declare #ClimateCrisis &amp; are demanding an end to #coal mining @RNZ: ""the Pacific…"
125,0.6369,0.0,0.729,0.271,"RT @DrDooleyMD: Our taxes should be used to help people.   

Like:

#MedicareForAll 
#ClimateChange
#GreenNewDeal 
#CancelStudentDebt 
#Col…"
126,0.1779,0.0,0.892,0.108,"RT @DocsEnvAus: ""Everything is changing"": #Farmers seek solutions, not slogans, on #climatechange https://t.co/u3C8U6epDJ @farmingforever @…"
127,0.0,0.0,1.0,0.0,RT @IPCC_CH: Estimates of the global emissions outcome of current nationally stated mitigation ambitions as submitted under the Paris Agree…
128,0.7351,0.0,0.714,0.286,"RT @PaulEDawson: “This is urgent, and to think we have time is such a privileged and removed-from-reality attitude,”

I agree with AOC, it'…"
129,0.6369,0.0,0.729,0.271,"RT @DrDooleyMD: Our taxes should be used to help people.   

Like:

#MedicareForAll 
#ClimateChange
#GreenNewDeal 
#CancelStudentDebt 
#Col…"
130,0.6705,0.0,0.792,0.208,"RT @JoeMoeonoKolio: Dear white allies,
If you truly are an ally of the Pacific communities on the front lines of #climatechange , then step…"
131,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
132,0.0,0.0,1.0,0.0,"RT @jongardella: Fast Company:  How to live without #airconditioning...

https://t.co/jPKOiZKZLE

via @GoogleNews
#RealEstate #housing #hom…"
133,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
134,0.8442,0.0,0.687,0.313,"RT @XR_NYC: ""We would love it if you would join us and help build a movement to turn this thing around."" - Richard McLachlan #xrsubwaytalks…"
135,-0.6486,0.193,0.807,0.0,"RT @ShiCooks: More than 200 reindeer found dead of starvation in the Arctic, scientists say https://t.co/VjJw9xNrMr #ClimateChange RT @Barr…"
136,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
137,0.4939,0.0,0.849,0.151,"We care about the environment. Therefore, all our Nopia vehicles are non-polluting electric cars. Nopia is an affor… https://t.co/mf5Sr06azc"
138,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
139,0.3612,0.0,0.828,0.172,"@AlexandriaV2005 @GretaThunberg @f4f_nyc @zerohournyc @sunrisemvmtnyc @XR_NYC Gotcha, thank you for the clarificati… https://t.co/81RYTr6ItS"
140,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
141,0.296,0.097,0.752,0.15,Yay 🤓 #urban #soils (and trees of course) - a profoundly sensible idea for urban #hydrology and of course… https://t.co/VClyqiHaJC
142,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
143,0.0,0.0,1.0,0.0,"RT @PaulEDawson: Time to walk the walk not just talk the talk!

The UK, France, Canada and Ireland have all formally recognised a climate c…"
144,0.7351,0.0,0.714,0.286,"RT @PaulEDawson: “This is urgent, and to think we have time is such a privileged and removed-from-reality attitude,”

I agree with AOC, it'…"
145,-0.6486,0.193,0.807,0.0,"RT @ShiCooks: More than 200 reindeer found dead of starvation in the Arctic, scientists say https://t.co/VjJw9xNrMr #ClimateChange RT @Barr…"
146,-0.8519,0.368,0.632,0.0,Disaster risk finance crucial for #resilience #adaptation and #SDGs. Implementation of SDGs can be in jeopardy if d… https://t.co/u4bEazy10n
147,-0.6486,0.193,0.807,0.0,"RT @ShiCooks: More than 200 reindeer found dead of starvation in the Arctic, scientists say https://t.co/VjJw9xNrMr #ClimateChange RT @Barr…"
148,-0.34,0.112,0.888,0.0,"@anandmahindra ji 
It’s incredible that we have the power to combat #climatechange and minimize the use of fossil f… https://t.co/sPjVG8adjx"
149,-0.6103,0.19,0.81,0.0,#ClimateCrisis is not a republican or Democratic issue it’s an entire world issue !! Can’t these stupid republicans… https://t.co/dB1TKT5CMO
150,0.0,0.0,1.0,0.0,RT @EllyanneCGithae: @MumbaMusondam @edmnangagwa @METHI_Zimbabwe @NewsDayZimbabwe @africaupdates @Zambia @QfmZambia @LamechLamarch25 @Greta…
151,-0.6486,0.193,0.807,0.0,"RT @ShiCooks: More than 200 reindeer found dead of starvation in the Arctic, scientists say https://t.co/VjJw9xNrMr #ClimateChange RT @Barr…"
152,0.4939,0.0,0.714,0.286,Inspired by change #climatechange #ClimateChangeIsReal #ClimateEmergency #environnement #FridaysForFuture… https://t.co/EIWwIBSfA6
153,0.0,0.0,1.0,0.0,"RT @action_gx: A CALL FOR VOLUNTEERS.

We Need You.... Our Environment Needs Us. 
 Register @ https://t.co/jwwNQOXv8x

#actiongx #environme…"
154,0.2481,0.11,0.688,0.202,"I agree! Bernie is understandably emotional, as many of us are, that humanity is hurtling into both #ClimateCrisis… https://t.co/V4ma3dyHyd"
155,-0.6249,0.215,0.785,0.0,"RT @TimMelino: #CLIMATE crisis already causing deaths and childhood stunting, report reveals https://t.co/ohWKGaYJM4 #GPWX #GlobalWarming #…"
156,0.5737,0.0,0.801,0.199,RT @YYCSocialist: . @jkenney won’t do anything meaningful about #ClimateChange but this well organized YYC group is making an impact in Cal…
157,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
158,0.6369,0.0,0.729,0.271,"RT @DrDooleyMD: Our taxes should be used to help people.   

Like:

#MedicareForAll 
#ClimateChange
#GreenNewDeal 
#CancelStudentDebt 
#Col…"
159,0.4215,0.0,0.808,0.192,"RT @ciicesd: #Singapore shows the way to tackle the challenges of  #ClimateChange like #RisingSeaLevel, #foodsecurity etc. through #Progres…"
160,0.0,0.0,1.0,0.0,"RT @FAOclimate: RT @FAOfish: #DYK @FAO will be hosting an International Symposium on #Fisheries Sustainability this November? 

Lots of #Su…"
161,-0.6486,0.193,0.807,0.0,"RT @ShiCooks: More than 200 reindeer found dead of starvation in the Arctic, scientists say https://t.co/VjJw9xNrMr #ClimateChange RT @Barr…"
162,0.0,0.0,1.0,0.0,"Why Arctic Glaciers and Permafrost Are Diminishing: https://t.co/utpOkQGzN7
#climatecrisis #actonclimatechange https://t.co/lucJ2O3jjv"
163,0.6369,0.0,0.729,0.271,"RT @DrDooleyMD: Our taxes should be used to help people.   

Like:

#MedicareForAll 
#ClimateChange
#GreenNewDeal 
#CancelStudentDebt 
#Col…"
164,0.3182,0.0,0.867,0.133,"This ""Landslide Portal"" press release doesn't mention #ClimateCrisis even once. Landslides will increase as weather… https://t.co/jEq1Tmt57p"
165,0.0,0.0,1.0,0.0,RT @arikring: @Jackthelad1947 @NeurozoInnovat1 @ristori20 @kashthefuturist @AdamRogers2030 @ReclaimAnglesea @debraruh @HansLak @SusanHeaney…
166,-0.0772,0.091,0.909,0.0,RT @D_Raval: You can be serious about going ahead fracking OR you can be serious about dealing with the #ClimateCrisis BUT you can't be bot…
167,-0.2263,0.087,0.913,0.0,"RT @oxfamnz: #Pacific leaders from several island nations declare #ClimateCrisis &amp; are demanding an end to #coal mining @RNZ: ""the Pacific…"
168,0.5106,0.0,0.864,0.136,"RT @PaulEDawson: ""The OIL INDUSTRY is NOT your FRIEND.""

""Whatever it might say about its ethical credentials, while it CONTINUES to invest…"
169,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
170,0.0258,0.1,0.795,0.105,"RT @PaulEDawson: ""It’s crazy to think that we can have unlimited economic development on a planet with finite natural resources and a still…"
